configuration,switches,repetition,dpid,status,per_switch_us,batch_us
baseline,10,1,2,OK,3272.948,5251.483
baseline,10,1,4,OK,3296.621,5251.483
baseline,10,1,1,OK,3382.819,5251.483
baseline,10,1,3,OK,3334.250,5251.483
baseline,10,1,5,OK,3332.637,5251.483
baseline,10,1,6,OK,3338.819,5251.483
baseline,10,1,10,OK,3327.457,5251.483
baseline,10,1,7,OK,3355.380,5251.483
baseline,10,1,8,OK,3374.023,5251.483
baseline,10,1,9,OK,5088.405,5251.483
baseline,10,2,1,OK,1109.945,4219.713
baseline,10,2,2,OK,1811.329,4219.713
baseline,10,2,4,OK,1822.190,4219.713
baseline,10,2,7,OK,2651.710,4219.713
baseline,10,2,5,OK,2986.894,4219.713
baseline,10,2,3,OK,3442.038,4219.713
baseline,10,2,6,OK,3785.848,4219.713
baseline,10,2,10,OK,3769.448,4219.713
baseline,10,2,8,OK,3794.193,4219.713
baseline,10,2,9,OK,3800.585,4219.713
baseline,10,3,1,OK,4603.336,9309.521
baseline,10,3,2,OK,4213.061,9309.521
baseline,10,3,3,OK,4234.621,9309.521
baseline,10,3,5,OK,8570.407,9309.521
baseline,10,3,4,OK,8646.115,9309.521
baseline,10,3,7,OK,8649.521,9309.521
baseline,10,3,6,OK,8672.554,9309.521
baseline,10,3,9,OK,8666.693,9309.521
baseline,10,3,10,OK,8672.994,9309.521
baseline,10,3,8,OK,8698.532,9309.521
baseline,10,4,1,OK,1219.044,3388.009
baseline,10,4,2,OK,1202.754,3388.009
baseline,10,4,3,OK,2343.625,3388.009
baseline,10,4,4,OK,2365.405,3388.009
baseline,10,4,8,OK,2357.931,3388.009
baseline,10,4,10,OK,2370.624,3388.009
baseline,10,4,5,OK,2962.940,3388.009
baseline,10,4,7,OK,2975.773,3388.009
baseline,10,4,6,OK,3008.223,3388.009
baseline,10,4,9,OK,3238.726,3388.009
baseline,10,5,1,OK,3353.887,4445.658
baseline,10,5,3,OK,3385.264,4445.658
baseline,10,5,4,OK,3403.227,4445.658
baseline,10,5,5,OK,3420.499,4445.658
baseline,10,5,7,OK,3445.735,4445.658
baseline,10,5,8,OK,3454.351,4445.658
baseline,10,5,6,OK,3491.009,4445.658
baseline,10,5,9,OK,3225.952,4445.658
baseline,10,5,2,OK,3568.139,4445.658
baseline,10,5,10,OK,4014.979,4445.658
baseline,10,6,1,OK,4038.763,6886.421
baseline,10,6,2,OK,4026.490,6886.421
baseline,10,6,3,OK,4038.562,6886.421
baseline,10,6,10,OK,4638.902,6886.421
baseline,10,6,6,OK,5150.560,6886.421
baseline,10,6,4,OK,6071.076,6886.421
baseline,10,6,8,OK,6201.426,6886.421
baseline,10,6,7,OK,6236.390,6886.421
baseline,10,6,9,OK,6234.797,6886.421
baseline,10,6,5,OK,6727.540,6886.421
baseline,10,7,1,OK,2820.820,7986.697
baseline,10,7,2,OK,4019.768,7986.697
baseline,10,7,10,OK,4549.068,7986.697
baseline,10,7,4,OK,4623.103,7986.697
baseline,10,7,5,OK,4643.531,7986.697
baseline,10,7,3,OK,5092.414,7986.697
baseline,10,7,6,OK,5104.656,7986.697
baseline,10,7,7,OK,5116.839,7986.697
baseline,10,7,9,OK,7716.242,7986.697
baseline,10,7,8,OK,7758.269,7986.697
baseline,10,8,1,OK,2110.658,3962.872
baseline,10,8,8,OK,3496.508,3962.872
baseline,10,8,2,OK,3621.978,3962.872
baseline,10,8,5,OK,3638.458,3962.872
baseline,10,8,10,OK,3623.530,3962.872
baseline,10,8,3,OK,3696.314,3962.872
baseline,10,8,6,OK,3692.117,3962.872
baseline,10,8,4,OK,3725.738,3962.872
baseline,10,8,7,OK,3751.385,3962.872
baseline,10,8,9,OK,3770.170,3962.872
baseline,10,9,1,OK,3449.372,9545.859
baseline,10,9,2,OK,3431.088,9545.859
baseline,10,9,3,OK,3431.138,9545.859
baseline,10,9,5,OK,3427.261,9545.859
baseline,10,9,6,OK,3496.708,9545.859
baseline,10,9,9,OK,3497.209,9545.859
baseline,10,9,10,OK,5997.621,9545.859
baseline,10,9,7,OK,6145.302,9545.859
baseline,10,9,4,OK,6258.931,9545.859
baseline,10,9,8,OK,9259.034,9545.859
baseline,10,10,2,OK,2352.201,3594.307
baseline,10,10,3,OK,2404.707,3594.307
baseline,10,10,8,OK,2392.555,3594.307
baseline,10,10,7,OK,2418.863,3594.307
baseline,10,10,4,OK,2453.367,3594.307
baseline,10,10,10,OK,2727.889,3594.307
baseline,10,10,6,OK,2800.152,3594.307
baseline,10,10,9,OK,2799.711,3594.307
baseline,10,10,1,OK,3512.317,3594.307
baseline,10,10,5,OK,3455.103,3594.307
