configuration,switches,repetition,dpid,status,per_switch_us,batch_us
x509,20,1,1,OK,3351.951,29345.010
x509,20,1,2,OK,7623.682,29345.010
x509,20,1,11,OK,8287.481,29345.010
x509,20,1,5,OK,11137.030,29345.010
x509,20,1,7,OK,11152.854,29345.010
x509,20,1,18,OK,11108.190,29345.010
x509,20,1,4,OK,11198.039,29345.010
x509,20,1,20,OK,11120.665,29345.010
x509,20,1,15,OK,11648.708,29345.010
x509,20,1,13,OK,11917.383,29345.010
x509,20,1,8,OK,12848.905,29345.010
x509,20,1,6,OK,15294.133,29345.010
x509,20,1,16,OK,19042.803,29345.010
x509,20,1,10,OK,19324.384,29345.010
x509,20,1,3,OK,22506.454,29345.010
x509,20,1,9,OK,25723.270,29345.010
x509,20,1,17,OK,26041.703,29345.010
x509,20,1,12,OK,27196.504,29345.010
x509,20,1,19,OK,27202.672,29345.010
x509,20,1,14,OK,29188.767,29345.010
x509,20,2,1,OK,4241.567,21499.503
x509,20,2,2,OK,4221.532,21499.503
x509,20,2,4,OK,4216.517,21499.503
x509,20,2,6,OK,4212.917,21499.503
x509,20,2,5,OK,6763.117,21499.503
x509,20,2,3,OK,7430.245,21499.503
x509,20,2,19,OK,8578.288,21499.503
x509,20,2,10,OK,12547.800,21499.503
x509,20,2,18,OK,12527.043,21499.503
x509,20,2,20,OK,14411.597,21499.503
x509,20,2,17,OK,14508.535,21499.503
x509,20,2,15,OK,18975.908,21499.503
x509,20,2,11,OK,19050.906,21499.503
x509,20,2,8,OK,19093.434,21499.503
x509,20,2,16,OK,19040.577,21499.503
x509,20,2,14,OK,19067.522,21499.503
x509,20,2,12,OK,19097.616,21499.503
x509,20,2,9,OK,21024.517,21499.503
x509,20,2,13,OK,21104.207,21499.503
x509,20,2,7,OK,21262.185,21499.503
x509,20,3,1,OK,3344.370,14004.257
x509,20,3,3,OK,3249.747,14004.257
x509,20,3,6,OK,3244.042,14004.257
x509,20,3,2,OK,3309.975,14004.257
x509,20,3,7,OK,7404.805,14004.257
x509,20,3,5,OK,7464.260,14004.257
x509,20,3,10,OK,7434.478,14004.257
x509,20,3,8,OK,7470.918,14004.257
x509,20,3,13,OK,7434.979,14004.257
x509,20,3,4,OK,7535.176,14004.257
x509,20,3,11,OK,9395.071,14004.257
x509,20,3,16,OK,9389.707,14004.257
x509,20,3,15,OK,9419.790,14004.257
x509,20,3,19,OK,9888.109,14004.257
x509,20,3,12,OK,9993.641,14004.257
x509,20,3,9,OK,12056.869,14004.257
x509,20,3,17,OK,12015.434,14004.257
x509,20,3,18,OK,12612.269,14004.257
x509,20,3,14,OK,12938.042,14004.257
x509,20,3,20,OK,13608.951,14004.257
x509,20,4,1,OK,10342.889,22182.346
x509,20,4,2,OK,10324.157,22182.346
x509,20,4,10,OK,10262.285,22182.346
x509,20,4,13,OK,10258.916,22182.346
x509,20,4,19,OK,10218.875,22182.346
x509,20,4,18,OK,13044.557,22182.346
x509,20,4,20,OK,13076.256,22182.346
x509,20,4,6,OK,14747.357,22182.346
x509,20,4,11,OK,14740.849,22182.346
x509,20,4,17,OK,14705.110,22182.346
x509,20,4,7,OK,15425.376,22182.346
x509,20,4,12,OK,15662.444,22182.346
x509,20,4,16,OK,16938.520,22182.346
x509,20,4,5,OK,17073.014,22182.346
x509,20,4,3,OK,17431.698,22182.346
x509,20,4,8,OK,18097.934,22182.346
x509,20,4,14,OK,20135.011,22182.346
x509,20,4,15,OK,20162.497,22182.346
x509,20,4,9,OK,21004.782,22182.346
x509,20,4,4,OK,21963.218,22182.346
x509,20,5,1,OK,3390.878,24108.123
x509,20,5,12,OK,3363.984,24108.123
x509,20,5,15,OK,3376.609,24108.123
x509,20,5,14,OK,6020.328,24108.123
x509,20,5,16,OK,6048.716,24108.123
x509,20,5,19,OK,8333.138,24108.123
x509,20,5,2,OK,11154.127,24108.123
x509,20,5,6,OK,15295.457,24108.123
x509,20,5,7,OK,15369.091,24108.123
x509,20,5,8,OK,17195.052,24108.123
x509,20,5,9,OK,17224.894,24108.123
x509,20,5,3,OK,20930.355,24108.123
x509,20,5,10,OK,20947.904,24108.123
x509,20,5,11,OK,20970.015,24108.123
x509,20,5,18,OK,22783.572,24108.123
x509,20,5,5,OK,22907.446,24108.123
x509,20,5,17,OK,23122.371,24108.123
x509,20,5,4,OK,23246.124,24108.123
x509,20,5,13,OK,23215.178,24108.123
x509,20,5,20,OK,23902.082,24108.123
x509,20,6,2,OK,6418.411,16376.664
x509,20,6,3,OK,6429.151,16376.664
x509,20,6,4,OK,6432.941,16376.664
x509,20,6,6,OK,6428.278,16376.664
x509,20,6,7,OK,6432.079,16376.664
x509,20,6,8,OK,6436.902,16376.664
x509,20,6,10,OK,12888.915,16376.664
x509,20,6,9,OK,13240.080,16376.664
x509,20,6,1,OK,13744.407,16376.664
x509,20,6,11,OK,12956.102,16376.664
x509,20,6,14,OK,12944.079,16376.664
x509,20,6,12,OK,12980.981,16376.664
x509,20,6,17,OK,12949.805,16376.664
x509,20,6,16,OK,12983.067,16376.664
x509,20,6,15,OK,13008.216,16376.664
x509,20,6,20,OK,13833.765,16376.664
x509,20,6,19,OK,15012.001,16376.664
x509,20,6,5,OK,15505.198,16376.664
x509,20,6,18,OK,15087.400,16376.664
x509,20,6,13,OK,15476.418,16376.664
x509,20,7,2,OK,4089.014,35733.396
x509,20,7,1,OK,4454.517,35733.396
x509,20,7,15,OK,19095.670,35733.396
x509,20,7,8,OK,19240.321,35733.396
x509,20,7,3,OK,19306.585,35733.396
x509,20,7,17,OK,19230.574,35733.396
x509,20,7,20,OK,19234.595,35733.396
x509,20,7,7,OK,19344.830,35733.396
x509,20,7,12,OK,19327.713,35733.396
x509,20,7,13,OK,32199.561,35733.396
x509,20,7,4,OK,32406.254,35733.396
x509,20,7,10,OK,32396.567,35733.396
x509,20,7,6,OK,32459.141,35733.396
x509,20,7,14,OK,32426.400,35733.396
x509,20,7,9,OK,32483.779,35733.396
x509,20,7,19,OK,32440.399,35733.396
x509,20,7,18,OK,32512.439,35733.396
x509,20,7,16,OK,33268.083,35733.396
x509,20,7,11,OK,33976.918,35733.396
x509,20,7,5,OK,35558.431,35733.396
x509,20,8,3,OK,2646.977,30106.480
x509,20,8,1,OK,3899.549,30106.480
x509,20,8,5,OK,7280.561,30106.480
x509,20,8,14,OK,7253.124,30106.480
x509,20,8,9,OK,10420.062,30106.480
x509,20,8,7,OK,10474.223,30106.480
x509,20,8,4,OK,12051.825,30106.480
x509,20,8,19,OK,12978.344,30106.480
x509,20,8,6,OK,21694.614,30106.480
x509,20,8,17,OK,21681.988,30106.480
x509,20,8,12,OK,21745.374,30106.480
x509,20,8,16,OK,23318.294,30106.480
x509,20,8,10,OK,25802.841,30106.480
x509,20,8,11,OK,28237.589,30106.480
x509,20,8,13,OK,28251.056,30106.480
x509,20,8,8,OK,28921.325,30106.480
x509,20,8,15,OK,28975.314,30106.480
x509,20,8,18,OK,29001.306,30106.480
x509,20,8,20,OK,29019.356,30106.480
x509,20,8,2,OK,29703.322,30106.480
